group1,group2,meandiff,p-adj,lower,upper,reject
21,43,0.0588,0.8805,-0.0345,0.1521,False
21,44,-0.0422,0.999,-0.1355,0.0511,False
21,45,-0.0617,0.8116,-0.155,0.0316,False
21,46,0.0569,0.9141,-0.0364,0.1502,False
21,47,-0.0743,0.4033,-0.1676,0.0189,False
21,48,-0.1392,0.0,-0.2324,-0.0459,True
22,23,-0.1657,0.0,-0.259,-0.0724,True
22,24,-0.0332,1.0,-0.1265,0.0601,False
22,25,-0.0128,1.0,-0.1061,0.0805,False
22,26,-0.1058,0.0074,-0.1991,-0.0125,True
22,27,-0.0096,1.0,-0.1029,0.0837,False
22,28,0.0083,1.0,-0.0849,0.1016,False
22,29,-0.1152,0.0014,-0.2085,-0.0219,True
22,30,-0.0427,0.9988,-0.136,0.0506,False
22,31,-0.0508,0.9795,-0.144,0.0425,False
22,32,-0.452,0.0,-0.5453,-0.3587,True
22,33,-0.0982,0.0246,-0.1915,-0.0049,True
22,34,-0.0011,1.0,-0.0943,0.0922,False
22,35,-0.1656,0.0,-0.2589,-0.0723,True
22,36,-0.039,0.9998,-0.1323,0.0543,False
22,37,0.0043,1.0,-0.089,0.0976,False
22,38,-0.2917,0.0,-0.3849,-0.1984,True
22,39,-0.0484,0.99,-0.1416,0.0449,False
22,40,0.0073,1.0,-0.086,0.1006,False
22,41,-0.1504,0.0,-0.2437,-0.0571,True
22,42,-0.2255,0.0,-0.3188,-0.1322,True
22,43,0.0046,1.0,-0.0887,0.0979,False
22,44,-0.0964,0.0323,-0.1897,-0.0031,True
22,45,-0.1159,0.0012,-0.2092,-0.0226,True
22,46,0.0028,1.0,-0.0905,0.096,False
22,47,-0.1285,0.0001,-0.2218,-0.0352,True
22,48,-0.1933,0.0,-0.2866,-0.1,True
23,24,0.1325,0.0,0.0392,0.2258,True
23,25,0.1529,0.0,0.0596,0.2462,True
23,26,0.0599,0.8566,-0.0334,0.1532,False
23,27,0.1561,0.0,0.0628,0.2494,True
23,28,0.1741,0.0,0.0808,0.2673,True
23,29,0.0505,0.9808,-0.0428,0.1438,False
23,30,0.123,0.0003,0.0298,0.2163,True
23,31,0.115,0.0015,0.0217,0.2082,True
23,32,-0.2863,0.0,-0.3796,-0.193,True
23,33,0.0675,0.6347,-0.0258,0.1608,False
23,34,0.1647,0.0,0.0714,0.2579,True
23,35,0.0001,1.0,-0.0932,0.0934,False
23,36,0.1267,0.0002,0.0334,0.22,True
23,37,0.17,0.0,0.0767,0.2633,True
23,38,-0.1259,0.0002,-0.2192,-0.0327,True
23,39,0.1174,0.0009,0.0241,0.2106,True
23,40,0.173,0.0,0.0797,0.2663,True
23,41,0.0153,1.0,-0.078,0.1086,False
23,42,-0.0598,0.859,-0.1531,0.0335,False
23,43,0.1703,0.0,0.077,0.2636,True
23,44,0.0693,0.5714,-0.024,0.1626,False
23,45,0.0498,0.9843,-0.0435,0.1431,False
23,46,0.1685,0.0,0.0752,0.2618,True
23,47,0.0372,0.9999,-0.0561,0.1305,False
23,48,-0.0276,1.0,-0.1209,0.0657,False
24,25,0.0204,1.0,-0.0729,0.1137,False
24,26,-0.0726,0.4596,-0.1659,0.0207,False
24,27,0.0236,1.0,-0.0697,0.1169,False
24,28,0.0416,0.9993,-0.0517,0.1348,False
24,29,-0.082,0.1993,-0.1753,0.0113,False
24,30,-0.0095,1.0,-0.1027,0.0838,False
24,31,-0.0175,1.0,-0.1108,0.0757,False
24,32,-0.4188,0.0,-0.5121,-0.3255,True
24,33,-0.065,0.7157,-0.1583,0.0283,False
24,34,0.0322,1.0,-0.0611,0.1255,False
24,35,-0.1324,0.0,-0.2257,-0.0391,True
24,36,-0.0058,1.0,-0.0991,0.0875,False
24,37,0.0375,0.9999,-0.0558,0.1308,False
24,38,-0.2584,0.0,-0.3517,-0.1652,True
24,39,-0.0151,1.0,-0.1084,0.0781,False
24,40,0.0405,0.9996,-0.0528,0.1338,False
24,41,-0.1172,0.001,-0.2105,-0.0239,True
24,42,-0.1923,0.0,-0.2856,-0.099,True
24,43,0.0378,0.9999,-0.0555,0.1311,False
24,44,-0.0632,0.7718,-0.1565,0.0301,False
24,45,-0.0827,0.1849,-0.176,0.0106,False
24,46,0.036,1.0,-0.0573,0.1293,False
24,47,-0.0953,0.0377,-0.1886,-0.002,True
24,48,-0.1601,0.0,-0.2534,-0.0668,True
25,26,-0.0931,0.0517,-0.1863,0.0002,False
25,27,0.0031,1.0,-0.0902,0.0964,False
25,28,0.0211,1.0,-0.0722,0.1144,False
25,29,-0.1024,0.0128,-0.1957,-0.0091,True
25,30,-0.0299,1.0,-0.1232,0.0634,False
25,31,-0.038,0.9999,-0.1313,0.0553,False
25,32,-0.4393,0.0,-0.5325,-0.346,True
25,33,-0.0855,0.1357,-0.1787,0.0078,False
25,34,0.0117,1.0,-0.0816,0.105,False
25,35,-0.1529,0.0,-0.2462,-0.0596,True
25,36,-0.0263,1.0,-0.1196,0.067,False
25,37,0.0171,1.0,-0.0762,0.1104,False
25,38,-0.2789,0.0,-0.3722,-0.1856,True
25,39,-0.0356,1.0,-0.1289,0.0577,False
25,40,0.0201,1.0,-0.0732,0.1134,False
25,41,-0.1376,0.0,-0.2309,-0.0443,True
25,42,-0.2127,0.0,-0.306,-0.1194,True
25,43,0.0174,1.0,-0.0759,0.1107,False
25,44,-0.0836,0.1673,-0.1769,0.0097,False
25,45,-0.1031,0.0115,-0.1964,-0.0098,True
25,46,0.0155,1.0,-0.0778,0.1088,False
25,47,-0.1157,0.0013,-0.209,-0.0225,True
25,48,-0.1806,0.0,-0.2739,-0.0873,True
26,27,0.0962,0.0332,0.0029,0.1895,True
26,28,0.1142,0.0017,0.0209,0.2075,True
26,29,-0.0094,1.0,-0.1026,0.0839,False
26,30,0.0632,0.7718,-0.0301,0.1565,False
26,31,0.0551,0.941,-0.0382,0.1484,False
26,32,-0.3462,0.0,-0.4395,-0.2529,True
26,33,0.0076,1.0,-0.0857,0.1009,False
26,34,0.1048,0.0088,0.0115,0.1981,True
26,35,-0.0598,0.8582,-0.1531,0.0335,False
26,36,0.0668,0.6581,-0.0265,0.1601,False
26,37,0.1101,0.0035,0.0168,0.2034,True
26,38,-0.1858,0.0,-0.2791,-0.0925,True
26,39,0.0575,0.9049,-0.0358,0.1508,False
26,40,0.1131,0.0021,0.0199,0.2064,True
26,41,-0.0446,0.9974,-0.1379,0.0487,False
26,42,-0.1197,0.0006,-0.2129,-0.0264,True
26,43,0.1104,0.0034,0.0171,0.2037,True
26,44,0.0095,1.0,-0.0838,0.1027,False
26,45,-0.0101,1.0,-0.1034,0.0832,False
