version_num,trial,row,has_obstacle,tau_s,r2
9,5,Middle,False,61.68494467519735,0.19422854256300925
9,5,Back,False,164610.1262498318,0.79197141850897
9,6,Front,False,648.2897693171932,0.3876113868230381
9,6,Middle,False,140298.8104580201,0.2820331829166278
9,6,Back,False,265502.6300399749,0.810297626004947
9,7,Front,False,105358.6256938605,0.24591429407797605
9,7,Middle,False,244102.95531103187,0.14163947944578237
9,7,Back,False,90877.6520418172,0.6296496280464392
9,8,Front,False,168534.28493603208,0.38042214615388303
9,8,Middle,False,70.56138340694406,0.21594937821181637
9,8,Back,False,169265.0065964724,0.805899832953608
9,9,Front,False,69686.16005912422,0.2805610182282421
9,9,Middle,False,105977.95093079988,0.30915885055902714
9,9,Back,False,184650.63807508812,0.7755344083122138
9,10,Front,False,95435.21912135636,0.5117072584042883
9,10,Middle,False,263795.0680686013,0.2039798000447004
9,10,Back,False,111131.98693051212,0.7845299344949572
10,1,Front,False,168148.4233185697,0.8941028516920233
10,1,Middle,False,319979.4291211229,0.10352137706675002
10,1,Back,False,205774.8443072151,0.9330579218979911
10,2,Front,False,252005.79533570583,0.8724401043948273
10,2,Middle,False,41045.846508348055,0.23991694240097305
10,2,Back,False,662364.1682714295,0.9107925529820035
10,3,Front,False,304609.84942611586,0.882861259865938
10,3,Middle,False,133833.7958168083,0.1894039211595293
10,3,Back,False,1163452.7764654227,0.9326606797145136
10,4,Front,False,235230.12421604584,0.852991787839962
